game;CARPU;revenue;Downloads;RPD;LTV-West;LTV-East;sell_ad;in_app_purchases;metacritic;asian_share;sports;strategy;action;rpg;casino;casual;CPI;profit;ROI;retention;est_DAU;;;
8 Ball Pool;0.8;5000000;10000000;0.5;2.59;0.54;0;1;0;0;1;0;0;0;0;0;2.29;-1.49;-0.650655022;0.04;400000;;;
AFK Arena;22;10000000;200000;50;22.72;52.11;0;1;0;0.42;0;0;0;1;0;0;4.4;17.6;4;0.049;9800;;;
Age of Origins:Tower Defense;9.43;10000000;1000000;10;18.29;38.4;0;1;0;0.39;0;1;0;0;0;0;3.81;5.62;1.475065617;0.06;60000;;;
Angry Birds 2;1.32;5000000;2000000;2.5;3.3;0.77;1;1;66;0.07;0;0;0;0;0;1;3.28;-1.96;-0.597560976;0.052;104000;;;
ANOTHER EDEN Global;34.03;5000000;50000;100;10.22;45.52;0;1;0;0.91;0;0;0;1;0;0;4.4;29.63;6.734090909;0.049;2450;;;
Arknights;36.79;5000000;100000;50;25.07;73.55;0;1;80;0.75;0;1;0;0;0;0;3.81;32.98;8.656167979;0.06;6000;;;
Best Fiends - Match 3 Puzzles;4.1;5000000;200000;25;7.08;1.06;1;1;0;0.035;0;0;0;0;0;1;3.28;0.82;0.25;0.052;10400;;;
Big Fish Casino: Slots;29.92;10000000;20000;500;34.43;0;1;1;0;0;0;0;0;0;1;0;7.28;22.64;3.10989011;0.05;1000;;;
Billionaire Casino Slots 777;11.7;5000000;100000;50;18.11;0;1;1;0;0;0;0;0;0;1;0;7.28;4.42;0.607142857;0.05;5000;;;
Bingo Blitz™? - Bingo Games;17.35;20000000;1000000;20;33.09;0;1;1;0;0;0;0;0;0;1;0;7.28;10.07;1.383241758;0.05;50000;;;
Blade&Soul Revolution;68.28;2000000;50000;40;12.44;147.18;1;1;0;0.88;0;0;0;1;0;0;4.4;63.88;14.51818182;0.049;2450;;;
Board Kings: Board dice game;3.37;5000000;200000;25;7.34;0;0;1;0;0;0;0;0;0;0;1;3.28;0.09;0.027439024;0.052;10400;;;
Brawl Stars;3.49;10000000;2000000;5;6.89;9.2;0;1;72;0.19;0;0;1;0;0;0;2.53;0.96;0.37944664;0.049;98000;;;
Caesars Slots: Casino game;12.32;5000000;200000;25;18.04;0;1;1;0;0;0;0;0;0;1;0;7.28;5.04;0.692307692;0.05;10000;;;
Call of Duty®: Mobile;3.13;20000000;2000000;10;5.41;16.87;1;1;81;0.11;0;0;1;0;0;0;2.53;0.6;0.23715415;0.049;98000;;;
Candy Crush Saga;4.63;50000000;10000000;5;20.3;9.44;1;1;79;0.115;0;0;0;0;0;1;3.28;1.35;0.411585366;0.052;520000;;;
Candy Crush Soda Saga;4.98;20000000;2000000;10;15.43;6.13;1;1;78;0.125;0;0;0;0;0;1;3.28;1.7;0.518292683;0.052;104000;;;
Cash Frenzy™ - Casino Slots;17.36;10000000;200000;50;25.36;0;1;1;0;0;0;0;0;0;1;0;7.28;10.08;1.384615385;0.05;10000;;;
Cash Tornado™ Slots - Casino;13.57;5000000;200000;25;16.92;0;1;1;0;0;0;0;0;0;1;0;7.28;6.29;0.864010989;0.05;10000;;;
Cashman Casino Las Vegas Slots ;31.3;10000000;200000;50;38.67;0;1;1;0;0;0;0;0;0;1;0;7.28;24.02;3.299450549;0.05;10000;;;
Clash of Clans;7.1;20000000;2000000;10;21.51;12.93;0;1;74;0.16;0;1;0;0;0;0;3.81;3.29;0.86351706;0.06;120000;;;
Clash Royale;4.8;20000000;5000000;4;11.03;8.79;0;1;86;0.19;0;1;0;0;0;0;3.81;0.99;0.25984252;0.06;300000;;;
Clockmaker: Match 3 Games!;7.79;5000000;200000;25;15.89;0;1;1;0;0;0;0;0;0;0;1;3.28;4.51;1.375;0.052;10400;;;
Coin Master;9.3;50000000;2000000;25;20.04;19.28;0;0;0;0.145;0;0;0;0;1;0;7.28;2.02;0.277472527;0.05;100000;;;
Cookie Run: Kingdom;10.49;5000000;500000;10;10.4;19.59;0;1;0;0.44;0;0;0;1;0;0;4.4;6.09;1.384090909;0.049;24500;;;
Design Home: Real Home Decor;5.32;5000000;200000;25;8.55;0;1;1;0;0;0;0;0;0;0;1;3.28;2.04;0.62195122;0.052;10400;;;
